Data,pm25,pm10,o3,no2,so2,co
2017-03-19,68.0,11.0,27.0,31.0,2.0,5.0
2017-03-20,68.0,23.0,27.0,31.0,2.0,5.0
2017-03-21,68.0,44.0,27.0,31.0,2.0,5.0
2017-03-22,68.0,37.0,27.0,31.0,2.0,5.0
2017-03-23,68.0,20.0,27.0,31.0,2.0,5.0
2017-03-24,68.0,47.0,27.0,31.0,2.0,5.0
2017-03-25,68.0,45.0,27.0,31.0,2.0,5.0
2017-03-26,68.0,18.0,27.0,31.0,2.0,5.0
2017-03-27,68.0,47.0,27.0,31.0,2.0,5.0
2017-03-28,68.0,51.0,27.0,31.0,2.0,5.0
2017-03-29,68.0,81.0,27.0,31.0,2.0,5.0
